Problem,Rationale,options,correct,annotated_formula,linear_formula,category
4 dice are thrown simultaneously on the board . find the probability show the same face .,"""the total number of elementary events associated to the random experiments of throwing four dice simultaneously is : = 6 × 6 × 6 × 6 = 64 = 6 × 6 × 6 × 6 = 64 n ( s ) = 64 n ( s ) = 64 let xx be the event that all dice show the same face . x = { ( 1,1 , 1,1 , ) , ( 2,2 , 2,2 ) , ( 3,3 , 3,3 ) , ( 4,4 , 4,4 ) , ( 5,5 , 5,5 ) , ( 6,6 , 6,6 ) } x = { ( 1,1 , 1,1 , ) , ( 2,2 , 2,2 ) , ( 3,3 , 3,3 ) , ( 4,4 , 4,4 ) , ( 5,5 , 5,5 ) , ( 6,6 , 6,6 ) } n ( x ) = 6 n ( x ) = 6 hence required probability , = n ( x ) n ( s ) = 664 = n ( x ) n ( s ) = 664 = 1 / 216 c""","a ) 1 / 213 , b ) 1 / 215 , c ) 1 / 216 , d ) 2 / 113 , e ) 3 / 114",c,"multiply(divide(const_3, add(const_3, const_3)), divide(const_3, add(const_3, const_3)))","add(const_3,const_3)|divide(const_3,#0)|multiply(#1,#1)|",probability
"from a pack of 52 cards , 1 card is drawn at random . what is the probability that a jack , queen , or king is drawn ?","the total number of cards is 52 . the number of jacks , queens , or kings is 12 . p ( jack , queen , king ) = 12 / 52 = 3 / 13 the answer is d .","a ) 1 / 4 , b ) 1 / 12 , c ) 2 / 13 , d ) 3 / 13 , e ) 3 / 26",d,"divide(multiply(const_4, const_3), 52)","multiply(const_3,const_4)|divide(#0,n0)",probability
in a throw of dice what is the probability of ge æ « ng number greater than 1,"""explanation : number greater than 1 is 2 , 3 , 4 , 5 & 6 , so only 5 number total cases of dice = [ 1,2 , 3,4 , 5,6 ] so probability = 5 / 6 answer : e""","a ) 1 / 2 , b ) 1 / 3 , c ) 1 / 5 , d ) 5 / 6 , e ) none of these",e,"divide(subtract(const_6, 1), const_6)","subtract(const_6,n0)|divide(#0,const_6)|",probability
"there are 18 balls in a jar . you take out 3 blue balls without putting them back inside , and now the probability of pulling out a blue ball is 1 / 5 . how many blue balls were there in the beginning ?",there are 18 balls in a jar . you take out 3 blue balls without putting 3 blue balls + 15 / 5 = 6 answer : e,"a ) 12 , b ) 9 , c ) 8 , d ) 7 , e ) 6",e,"add(divide(subtract(18, 3), 5), 3)","subtract(n0,n1)|divide(#0,n3)|add(n1,#1)",probability
"the maitre ' d at an expensive manhattan restaurant has noticed that 60 % of the couples order dessert and coffee . however , 20 % of the couples who order dessert do n ' t order coffee . what is the probability w that the next couple the maitre ' d seats will not order dessert ?","""could you use a venn diagram and just go with the number 100 . 60 people order dessert and coffee . . . which is the union of d and c . w = 2 / 10 of d are n ' t in d u c = so 8 / 10 of d are in duc which means = 60 = 8 / 10 d . so d in total = 75 , and 15 d ' s are n ' t in d union c . which means 25 people are in c only + neither . b 25 %""","a ) 20 % , b ) 25 % , c ) 40 % , d ) 60 % , e ) 75 %",b,"multiply(subtract(const_1, divide(divide(60, multiply(multiply(const_2, const_5), multiply(const_2, const_5))), subtract(const_1, divide(20, multiply(multiply(const_2, const_5), multiply(const_2, const_5)))))), multiply(multiply(const_2, const_5), multiply(const_2, const_5)))","multiply(const_2,const_5)|multiply(#0,#0)|divide(n0,#1)|divide(n1,#1)|subtract(const_1,#3)|divide(#2,#4)|subtract(const_1,#5)|multiply(#1,#6)|",probability
"if two dice are thrown together , the probability of getting an even number on one die and an odd number on the other is - .","""answer : option b the number of exhaustive outcomes is 36 . let e be the event of getting an even number on one die and an odd number on the other . let the event of getting either both even or both odd then = 18 / 36 = 1 / 2 p ( e ) = 1 - 1 / 2 = 1 / 2 .""","a ) 1 / 3 , b ) 1 / 2 , c ) 7 / 8 , d ) 3 / 4 , e ) 7 / 3",b,"divide(const_6, multiply(const_6, const_6))","multiply(const_6,const_6)|divide(const_6,#0)|",probability
"a bag contains 3 red , 6 yellow and 8 green balls . 3 balls are drawn randomly . what is the probability that the balls drawn contain balls of different colours ?","""total number of balls = 3 + 6 + 8 = 17 n ( s ) = 17 c 3 = 680 n ( e ) = 3 c 1 * 6 c 1 * 8 c 1 = 144 probability = 144 / 680 = 18 / 85 answer is d""","a ) 2 / 7 , b ) 3 / 5 , c ) 3 / 11 , d ) 18 / 85 , e ) 7 / 16",d,"divide(multiply(choose(const_4.0, const_2), choose(add(const_3.0, 6), const_1)), choose(add(add(3, 6), 8), 3))","add(n0,n1)|choose(const_4.0,const_2)|add(n2,#0)|choose(#0,const_1)|choose(#2,n0)|multiply(#1,#3)|divide(#5,#4)|",probability
"an urn contains 5 red , 6 blue and 8 green balls . 3 balls are randomly selected from the urn , find the probability that the drawn ball are 2 blue and 1 red ?","""sample space = no . of ways 3 balls were drawn from urn = 19 c 3 = 969 no . ways 2 blue balls and 1 red were drawn from bag = 6 c 2 * 5 c 1 = 75 probability = 75 / 969 = 25 / 323 ans - a""","a ) 25 / 323 , b ) 21 / 969 , c ) 28 / 989 , d ) 74 / 879 , e ) 23 / 589",a,"divide(multiply(choose(6, 2), choose(5, 1)), choose(add(add(5, 6), 8), 3))","add(n0,n1)|choose(n1,n4)|choose(n0,n5)|add(n2,#0)|multiply(#1,#2)|choose(#3,n3)|divide(#4,#5)|",probability
"in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 6 . for a group of 200 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ?","""the probability of survival for each of the first 3 months of life is 1 - 1 / 6 = 5 / 6 , so of 200 newborn 200 * 5 / 6 * 5 / 6 * 5 / 6 = ~ 116 is expected to survive . answer : a .""","a ) 116 , b ) 146 , c ) 152 , d ) 162 , e ) 170",a,"multiply(multiply(multiply(200, subtract(1, divide(1, 6))), subtract(1, divide(1, 6))), subtract(1, divide(1, 6)))","divide(n1,n2)|subtract(n1,#0)|multiply(n3,#1)|multiply(#2,#1)|multiply(#3,#1)|",probability
"how many different ways can 2 students be seated in a row of 6 desks , so that there is always at least one empty desk between the students ?","""10 ways to seat the students : with two empty seats between 1 empty w / one student on the left most 1 empty . . . . right most two students can be interchanged 10 x 2 = 20 d""","a ) 2 , b ) 3 , c ) 4 , d ) 20 , e ) 12",d,"permutation(subtract(6, const_1), 2)","subtract(n1,const_1)|permutation(#0,n0)|",probability
"a jar contains only red , yellow , and orange marbles . if there are 3 red , 6 yellow , and 4 orange marbles , and 3 marbles are chosen from the jar at random without replacing any of them , what is the probability that 2 yellow , 1 red , and no orange marbles will be chosen ?","""i started by finding the 2 probabilities , without calculation , like this : p ( yyr ) p ( yry ) p ( ryy ) i calculated the first one and ended in 1 / 22 . i looked at the answer choices at this point and saw answer d : 3 / 22 . this helped me realise that for the 3 possible orderings the probabbility is the same . so , it should be ( 1 / 22 ) * ( 6 ) , which indeed is 6 / 22 . e""","a ) 1 / 60 , b ) 1 / 45 , c ) 2 / 45 , d ) 3 / 22 , e ) 5 / 22",e,"divide(multiply(choose(6, 2), choose(3, 1)), choose(add(add(6, 4), 3), 3))","add(n1,n2)|choose(n1,n4)|choose(n0,n5)|add(n0,#0)|multiply(#1,#2)|choose(#3,n0)|divide(#4,#5)|",probability
"if 2 cards are selected at random from the deck of 52 cards then what is the probability of one of the selected cards will be king and other will be 10 ? a deck of cards has a total of 52 cards , consisting of 4 suits ; ( spades ( black ) , hearts ( red ) , diamond ( red ) s , and clubs ( black ) ) ; and 13 cards including 1 king , 1 queen and 1 jack in each suit","2 possible cases : king - 10 or 10 - king ( 4 kings and 4 10 ) . either way , the total probability = 2 ( king - 10 ) = 2 ( 4 / 52 * 4 / 51 ) = 18 / 2652 . b is the correct answer .","a ) 8 / 2652 , b ) 18 / 2652 , c ) 1 / 2652 , d ) 12 / 2652 , e ) 16 / 2652",b,"divide(multiply(multiply(subtract(4, const_1), subtract(4, const_1)), const_2), multiply(52, subtract(52, const_1)))","subtract(n4,const_1)|subtract(n1,const_1)|multiply(#0,#0)|multiply(n1,#1)|multiply(#2,const_2)|divide(#4,#3)",probability
a card is drawn from a pack of 52 cards . the probability of getting a queen of spade or an ace of club is :,"""explanation : total outcomes = 52 favourable outcomes ( getting a queen of spade or an ace of club ) = 2 probability = 2 / 52 = 1 / 26 . answer : b""","a ) 1 / 13 , b ) 1 / 26 , c ) 2 / 13 , d ) 1 / 52 , e ) 1 / 48",b,"divide(subtract(52, multiply(const_4, const_4)), 52)","multiply(const_4,const_4)|subtract(n0,#0)|divide(#1,n0)|",probability
"when 3 fair coins are tossed together , what is the probability of getting 2 tails ?","we can get 2 tails in 3 c 2 ways . we can get 3 tails in exactly one way . also , there are a total out 8 possible outcomes . thus , the required probability = ( 3 + 1 ) / 8 = 1 / 2 answer : a","a ) 1 / 2 , b ) 1 / 3 , c ) 1 / 4 , d ) 3 / 4 , e ) 2 / 3",a,"divide(const_4, power(const_2, 3))","power(const_2,n0)|divide(const_4,#0)",probability
"a bag contains 3 blue and 5 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability x that out of the two , one is white and one is blue ?","""the required probability x = probability of choosing 6 balls out of the total 8 in such a way that we remove 4 out of 5 white and 2 out of 3 blue balls . ways to select 6 out of total 8 = 8 c 6 ways to select 4 out of 5 white balls = 5 c 4 ways to select 2 out of 3 blue balls = 3 c 2 thus the required probability = ( 5 c 4 * 3 c 2 ) / 8 c 6 = 15 / 28 . d is thus the correct answer .""","a ) 15 / 56 , b ) 41 / 56 , c ) 13 / 28 , d ) 15 / 28 , e ) 5 / 14",d,"divide(multiply(3, 5), divide(multiply(add(3, 5), add(5, const_2)), const_2))","add(n0,n1)|add(n1,const_2)|multiply(n0,n1)|multiply(#0,#1)|divide(#3,const_2)|divide(#2,#4)|",probability
"if 4 people are selected from a group of 6 married couples , what is the probability that none of them would be married to each other ?","""each couple can send only one ` ` representative ' ' to the committee . we can choose 4 couples ( as there should be 4 members ) to send only one ` ` representatives ' ' to the committee in c 46 c 64 # of ways . but these 4 chosen couples can send two persons ( either husband or wife ) : 2 ∗ 2 ∗ 2 ∗ 2 = 242 ∗ 2 ∗ 2 ∗ 2 = 24 . so # of ways to choose 4 people out 6 married couples so that none of them would be married to each other is : c 46 ∗ 24 c 64 ∗ 24 . total # of ways to choose 4 people out of 12 is c 412 c 124 . p = c 46 ∗ 24 c 412 = 1633 p = c 64 ∗ 24 c 124 = 1633 answer : d .""","a ) 1 / 33 , b ) 2 / 33 , c ) 1 / 3 , d ) 16 / 33 , e ) 11 / 12",d,"multiply(multiply(multiply(divide(multiply(6, const_2), multiply(6, const_2)), divide(multiply(4, 4), subtract(multiply(6, const_2), const_1))), divide(subtract(multiply(4, 4), const_2), multiply(4, 4))), divide(subtract(subtract(multiply(4, 4), const_2), const_2), subtract(multiply(4, 4), const_1)))","multiply(n0,n0)|multiply(n1,const_2)|divide(#1,#1)|subtract(#0,const_2)|subtract(#0,const_1)|subtract(#1,const_1)|divide(#3,#0)|divide(#0,#5)|subtract(#3,const_2)|divide(#8,#4)|multiply(#2,#7)|multiply(#6,#10)|multiply(#9,#11)|",probability
in a throw of a coin find the probability of getting a tail ?,"""s = { h , t } e = { t } p ( e ) = 1 / 2 answer is a""","a ) 1 / 2 , b ) 1 / 3 , c ) 1 / 4 , d ) 2 / 5 , e ) 2 / 7",a,"divide(const_1, const_2)","divide(const_1,const_2)|",probability
in how many ways can 5 people be arranged in a circle ?,"""( 5 − 1 ) ! = 4 ! = 24 ways ans - c""","a ) 2 ! , b ) 5 ! , c ) 4 ! , d ) 3 ! , e ) 6 !",c,"subtract(divide(divide(5, const_1), const_3), const_3)","divide(n0,const_1)|divide(#0,const_3)|subtract(#1,const_3)|",probability
"a certain club has 10 members , including parry . one of the 10 members is chosen at random to be the president , one of the remaining 9 members is to be chosen at random to be the secretary , and one of the remaining 8 members is to be chosen at random to be the treasurer . what is the probability that parry will be either the member chose to be secretary or the member chose to be treasurer ?","in order to become a secretary the person can not be chosen as a president . this can be done in 9 / 10 ways . then to become a secretary this person ' s probability is 1 / 9 probability to become a secretary = ( 9 / 10 * 1 / 9 ) = 1 / 10 similar concept for treasurer . probability of not president = 9 / 10 , probability of not secretary = 8 / 9 , probability of treasurer 1 / 8 probability to become a treasurer = ( 9 / 10 * 8 / 9 * 1 / 8 ) = 1 / 10 since , the problem is saying parry secretary or treasurer it is addition : 1 / 10 + 1 / 10 = 1 / 5 = e","a ) 1 / 720 , b ) 1 / 80 , c ) 1 / 10 , d ) 1 / 9 , e ) 1 / 5",e,"add(divide(const_1, 10), divide(const_1, 10))","divide(const_1,n0)|add(#0,#0)",probability
"there is a 30 % chance sandy will visit china this year , while there is a 60 % chance that she will visit malaysia this year . what is the probability that sandy will visit either china or malaysia this year , but not both ?",p ( china and not malaysia ) = 0.3 * 0.4 = 0.12 p ( malaysia and not china ) = 0.6 * 0.7 = 0.42 total probability = 0.12 + 0.42 = 0.54 = 54 % the answer is c .,"a ) 42 % , b ) 48 % , c ) 54 % , d ) 60 % , e ) 66 %",c,"divide(add(30, 60), multiply(multiply(const_5, const_5), const_4))","add(n0,n1)|multiply(const_5,const_5)|multiply(#1,const_4)|divide(#0,#2)",probability
"kim has 8 pairs of shoes ; each pair is a different color . if kim randomly selects 2 shoes without replacement from the 16 shoes , what is the probability that she will select 2 shoes of the same color ?","""total pairs = 16 c 2 = 120 ; same color pairs = 8 c 1 * 1 c 1 = 8 ; prob = 1 / 15 ans e""","a ) 2 / 5 , b ) 1 / 5 , c ) 1 / 9 , d ) 1 / 10 , e ) 1 / 15",e,"divide(8, choose(16, 2))","choose(n2,n1)|divide(n0,#0)|",probability
a number is selected at random from the first 30 natural numbers . what is the probability that the number is a multiple of either 2 or 19 ?,"""number of multiples of 2 from 1 through 30 = 30 / 2 = 15 number of multiples of 19 from 1 through 30 = 30 / 19 = 1 number of multiples of 2 and 19 both from 1 through 30 = number of multiples of 19 * 2 ( = 38 ) = 0 total favourable cases = 15 + 1 - 0 = 16 probability = 16 / 30 = 8 / 15 answer : option d""","a ) 17 / 30 , b ) 2 / 5 , c ) 7 / 15 , d ) 8 / 15 , e ) 11 / 30",d,"divide(add(floor(divide(30, 2)), divide(30, 19)), 30)","divide(n0,n2)|divide(n0,n1)|floor(#1)|add(#0,#2)|divide(#3,n0)|",probability
"a bag contains 20 red jellybeans and 20 blue jellybeans . if 3 jellybeans are removed one at a time , at random and are not replaced , what is the probability that all 3 jellybeans removed from the bag are blue ?","""method - 1 10 red jellybeans and 10 blue jellybeans total outcomes = no . of ways to choose 3 jelly bean at random out of a total 20 jellybeans = 20 c 3 = 1140 favourable outcomes = no . of ways to choose 3 jelly bean such that they are all blue out of 10 blue = 10 c 3 = 120 probability = favourable outcomes / total outcomes = 10 c 3 / 20 c 3 probability = 120 / 1140 = 2 / 19 answer : option b method - 2 probability of first jelly bean to be blue = 10 / 20 [ total 10 blue out of total 20 jellybeans ] probability of second jelly bean to be blue = 9 / 19 [ total 9 blue remaining out of total 19 jellybeans remaining ] probability of third jelly bean to be blue = 8 / 18 [ total 8 blue remaining out of total 18 jellybeans remaining ] required probability = ( 10 / 20 ) * ( 9 / 19 ) * ( 8 / 18 ) = 3 / 20 answer : option d""","a ) 9 / 100 , b ) 2 / 19 , c ) 1 / 8 , d ) 3 / 20 , e ) 3 / 10",d,"divide(choose(20, 3), choose(add(20, 20), 3))","add(n0,n0)|choose(n0,n2)|choose(#0,n2)|divide(#1,#2)|",probability
"kim has 9 pairs of shoes ; each pair is a different color . if kim randomly selects 2 shoes without replacement from the 18 shoes , what is the probability that she will select 2 shoes of the same color ?","""can be tackled in this way as well : probability of selecting any 1 out of 10 shoes = 18 / 18 = 1 probability of selecting the next shoe ( out of 18 available ) having the same color = 1 / 18 ( as after selecting the 1 st one , there is only 1 another shoe left with the same color ) . thus the total probability = 1 * 1 / 17 = 1 / 17 . d is the correct answer .""","a ) 2 / 5 , b ) 11 / 5 , c ) 1 / 9 , d ) 1 / 17 , e ) 1 / 5",d,"divide(9, choose(18, 2))","choose(n2,n1)|divide(n0,#0)|",probability
"a bag contains 2 white marbles and 2 black marbles . if each of 2 girls and 2 boys randomly selects and keeps a marble , what is the probability that all of the girls select the same colored marble ?","""first , total ways to select for all boys and girls , i . e 4 ! / ( 2 ! * 2 ! ) = 4 * 3 * 2 * 1 / 2 * 1 * 2 * 1 = 6 then there are one two way girls can have all same colors , either white or black . the number of ways in which 2 girls can select 2 white balls = 2 c 2 = 1 the number of ways in which 2 girls can select 2 black balls = 2 c 2 = 1 therefore , total favorable outcomes / total outcomes = 2 / 6 = 1 / 3 c""","a ) 1 / 35 , b ) 1 / 10 , c ) 1 / 3 , d ) 1 / 4 , e ) 1 / 5",c,"divide(const_2, choose(add(2, 2), 2))","add(n0,n0)|choose(#0,n0)|divide(const_2,#1)|",probability
the main line train starts at 5.00 am and the harbor line train starts at 5.02 am . each train has the frequency of 10 minutes . if a guy goes in the morning at a random time what is the probability of he getting main line train ?,"out of 10 minutes there is only 2 minutes chance of getting harbour line train and there is 8 minutes chance for getting main line train . so , probability = 8 / 10 = 0.8 answer : e","a ) . 5 , b ) 0.6 , c ) 0.4 , d ) 0.7 , e ) 0.8",e,"divide(subtract(10, const_2), 10)","subtract(n2,const_2)|divide(#0,n2)",probability
what is the probability of getting sum of 10 on rolling three dices ?,"""the no of ways to roll three dies is 6 ^ 3 = 216 the possibles of getting sum as 10 is 631 = 3 ! = 6 622 = 3 ! / 2 ! = 3 541 = 3 ! = 6 523 = 3 ! = 6 442 = 3 ! / 2 ! = 3 433 = 3 ! / 2 ! = 3 total possibles for getting sum as 10 is 27 the probabilty is 27 / 216 answer : b""","a ) 28 / 216 , b ) 27 / 216 , c ) 29 / 216 , d ) 26 / 216 , e ) 25 / 216",b,"divide(const_2, choose(add(const_3, const_3), const_3))","add(const_3,const_3)|choose(#0,const_3)|divide(const_2,#1)|",probability
find the probability that a leap year selected at random will not have 53 sundays or mondays .,"""there are 366 days in a leap year : 52 weeks and 2 more days . so , 52 sundays , 52 mondays and 2 days . these 2 days can be : { mon , tue } , { tue , wed } , { wed , thu } , { thu , fri } , { fri , sat } , { sat , sun } and { sun , mon } ( 7 cases ) . in order to have 53 sundays or 53 mondays we should have either { mon , tue } { sat , sun } or { sun , mon } case . the probability of that is 3 / 7 . so probability of not having 53 sundays or mondays , probability is 1 - 3 / 7 = 4 / 7 answer : c .""","a ) 6 / 7 , b ) 5 / 7 , c ) 4 / 7 , d ) 3 / 7 , e ) 2 / 7",c,"divide(const_2, add(const_3, const_4))","add(const_3,const_4)|divide(const_2,#0)|",probability
what is the probability of drawn an ace or a space or both from a dew of cards .,"""there are 13 spades in a standard deck of cards . there are four aces in a standard deck of cards . one of the aces is a spade . so , 13 + 4 - 1 = 16 spades or aces to choose from . since we have a total of 52 cards , the probability of selecting an ace or a spade is 16 / 52 answer : c""","a ) 14 / 52 , b ) 15 / 52 , c ) 16 / 52 , d ) 17 / 52 , e ) 18 / 52",c,"divide(const_2, choose(add(const_3, const_3), const_3))","add(const_3,const_3)|choose(#0,const_3)|divide(const_2,#1)|",probability
two unbiased coins are tossed . find the probability of getting two heads ?,"""s = { hh , ht , th , tt } e = event of getting two heads e = { tt } p ( e ) = 1 / 4 answer is c""","a ) 1 / 2 , b ) 1 / 3 , c ) 1 / 4 , d ) 2 / 3 , e ) 3 / 5",c,"negate_prob(divide(const_1, power(const_2, const_3)))","power(const_2,const_3)|divide(const_1,#0)|negate_prob(#1)|",probability
"kim has 7 pairs of shoes ; each pair is a different color . if kim randomly selects 2 shoes without replacement from the 14 shoes , what is the probability that she will select 2 shoes of the same color ?","""can be tackled in this way as well : probability of selecting any 1 out of 14 shoes = 14 / 14 = 1 probability of selecting the next shoe ( out of 14 available ) having the same color = 1 / 14 ( as after selecting the 1 st one , there is only 1 another shoe left with the same color ) . thus the total probability = 1 * 1 / 13 = 1 / 13 . a is the correct answer .""","a ) 1 / 13 , b ) 1 / 15 , c ) 11 / 9 , d ) 1 / 10 , e ) 1 / 25",a,"divide(7, choose(14, 2))","choose(n2,n1)|divide(n0,#0)|",probability
"a certain junior class has 1,000 students and a certain senior class has 400 students . among these students , there are 60 siblings pairs , each consisting of 1 junior and 1 senior . if 1 student is to be selected at random from each class , what is the probability that the 2 students selected at will be a sibling pair ?","""total number of ways of choosing one student from each group is = 400 * 1000 number of cases in which a sibling pair will be got is = 60 thus the probability that the 2 students selected will be a sibling pair is = 60 / ( 400 * 1000 ) = 3 / 20,000 a""","a ) 3 / 20,000 , b ) 1 / 3,600 , c ) 9 / 2,000 , d ) 1 / 60 , e ) 1 / 15",a,"divide(1, const_3)","divide(n3,const_3)|",probability
"three unbiased coins are tossed . what is the probability of getting 1 heads , 1 tail ?","""let , h - - > head , t - - > tail here s = { ttt , tth , tht , htt , thh , hth , hht , hhh } let e = event of getting 3 heads then e = { tht , hth } p ( e ) = n ( e ) / n ( s ) = 2 / 8 answer is e""","a ) 3 / 4 , b ) 1 / 4 , c ) 3 / 8 , d ) 7 / 8 , e ) 2 / 8",e,"negate_prob(divide(const_1, power(const_2, const_3)))","power(const_2,const_3)|divide(const_1,#0)|negate_prob(#1)|",probability
"there are 7 books on a shelf , of which 2 are paperbacks and 5 are hardbacks . how many possible selections of 4 books from this shelf include at least one paperback ?","""approach 1 at - least 1 paper back = total - no paper back 7 c 4 - 5 c 4 = 30 approach 2 at - least 1 paper back = 1 paper back , 3 hard back or 2 paper back 2 hard back = 2 c 1 * 5 c 3 + 2 c 2 * 5 c 2 = 30 answer is a""","a ) a ) 30 , b ) b ) 45 , c ) c ) 50 , d ) d ) 55 , e ) e ) 60",a,"subtract(choose(7, 4), choose(5, 4))","choose(n0,n3)|choose(n2,n3)|subtract(#0,#1)|",probability
